"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"J. Rivero",30000076,26960,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/89/60/0000468960_03.jpg",1662040800
"J. Rivero",30000076,26031,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/89/57/0000468957_03.jpg",1662037200
"A. Feliz",30001114,26564,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/51/87/0000465187_03.jpg",1662037200
"A. Feliz",30001114,26114,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/51/83/0000465183_03.jpg",1662037200
"S. Birgander",20212423,25746,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/53/24/0000465324_03.jpg",1625112000
"S. Birgander",20212423,26582,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/53/34/0000465334_03.jpg",1662037200
"P. Ribas",20200836,26437,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/52/86/0000465286_03.jpg",1662048000
"P. Ribas",20200836,26563,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/52/96/0000465296_03.jpg",1662037200
"J. Puerto",20210392,26970,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/90/01/0000469001_03.jpg",1662037200
"J. Puerto",20210392,26030,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/89/92/0000468992_03.jpg",1662037200
"P. Busquets",20211754,25819,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/53/05/0000465305_03.jpg",1625112000
"P. Busquets",20211754,26581,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/53/16/0000465316_03.jpg",1662037200
"S. Van Rossom",20204111,26024,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/90/75/0000469075_03.jpg",1662037200
"S. Van Rossom",20204111,26974,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/90/84/0000469084_03.jpg",1662037200
"J. Shurna",20210670,26630,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/63/13/0000466313_03.jpg",1662037200
"J. Shurna",20210670,26197,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/63/02/0000466302_03.jpg",1662037200
"D. Osetkowski",30001979,26603,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/54/74/0000465474_03.jpg",1662037200
"D. Osetkowski",30001979,26570,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/54/82/0000465482_03.jpg",1662037200
"T. Kalinoski",30001169,26576,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/56/66/0000465666_03.jpg",1662037200
"T. Kalinoski",30001169,26203,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/56/51/0000465651_03.jpg",1631671200
"A. Lima",20200277,26575,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/54/21/0000465421_03.jpg",1662037200
"A. Lima",20200277,26095,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/54/17/0000465417_03.jpg",1662037200
"N. Djedovic",20202039,26608,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/56/19/0000465619_03.jpg",1662044400
"N. Djedovic",20202039,26574,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/56/26/0000465626_03.jpg",1662037200
"J. Kljajic",20212462,27016,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/63/16/0000466316_03.jpg",1662037200
"J. Kljajic",20212462,26632,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/63/21/0000466321_03.jpg",1662037200
"N. Brussino",20212648,26628,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/63/89/0000466389_03.jpg",1662037200
"N. Brussino",20212648,26195,5,"foto_de_cara","https://static.acb.com/img/www/jugadores2022/BrussinoCara.jpg",1630447200
"A. Albicy",20212190,26912,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/85/56/0000468556_03.jpg",1662037200
"A. Albicy",20212190,26192,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/85/45/0000468545_03.jpg",1662037200
"K. Diop",20212905,26627,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/63/43/0000466343_03.jpg",1662037200
"K. Diop",20212905,26216,5,"foto_de_cara","https://static.acb.com/img/www/jugadores2022/KDiopCara.jpg",1625104800
"K. Perry",30001977,26571,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/55/48/0000465548_03.jpg",1662037200
"K. Perry",30001977,26604,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/55/37/0000465537_03.jpg",1662037200
"F. Bassas",20200243,26631,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/62/84/0000466284_03.jpg",1662037200
"F. Bassas",20200243,25831,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/62/79/0000466279_03.jpg",1662037200
"AJ Slaughter",30000031,26194,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/85/31/0000468531_03.jpg",1662044400
"AJ Slaughter",30000031,26913,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/85/41/0000468541_03.jpg",1662037200
