"license_id","license_licenseAbbrev","license_licenseStr15","url_4"
30000268,"N. Calathes","Nick Calathes","https://static.acb.com/img/www/jugadores2022/CalathesCara.jpg"
20210335,"S. Martínez","Sergi Martínez","https://static.acb.com/img/www/jugadores2022/SergiMartinezCara.jpg"
20209986,"R. Smits","Rolands Smits","https://static.acb.com/img/www/jugadores2022/SmitsCara.jpg"
20210659,"G. Shermadini","Giorgi Shermadini","https://static.acb.com/img/www/jugadores2022/ShermadiniCara.jpg"
20200274,"R. Luz","Rafa Luz","https://static.acb.com/img/www/jugadores2022/LuzCara.jpg"
20201760,"M. Huertas","Marcelinho Huertas","https://static.acb.com/img/www/jugadores2022/HuertasCara.jpg"
20210830,"T. Sedekerskis","Tadas Sedekerskis","https://static.acb.com/img/www/jugadores2022/SedekerskisCara.jpg"
20212949,"K. Wiltjer","Kyle Wiltjer","https://static.acb.com/img/www/jugadores2022/WiltjerCara.jpg"
20212416,"V. Poirier","Vincent Poirier","https://static.acb.com/img/www/jugadores2022/PoirierCara.jpg"
30000299,"Á. Delgado","Ángel Delgado","https://static.acb.com/img/www/jugadores2022/DelgadoCara.jpg"
30001184,"V. Bigote","Valentin Bigote","https://static.acb.com/img/www/jugadores2022/BigoteCara.jpg"
20212190,"A. Albicy","Andrew Albicy","https://static.acb.com/img/www/jugadores2022/AlbicyCara.jpg"
20212648,"N. Brussino","Nico Brussino","https://static.acb.com/img/www/jugadores2022/BrussinoCara.jpg"
20211754,"P. Busquets","Pep Busquets","https://static.acb.com/img/www/jugadores2022/BusquetsCara.jpg"
20212284,"R. Mahalbasic","Rasid Mahalbasic","https://static.acb.com/img/www/jugadores2022/MahalbasicCara.jpg"
30001171,"T. Bell-Haynes","Trae Bell-Haynes","https://static.acb.com/img/www/jugadores2022/BellCara.jpg"
20210643,"D. Bertans","Dairis Bertans","https://static.acb.com/img/www/jugadores2022/BertansCara.jpg"
30001182,"E. Quintela","Erik Quintela","https://static.acb.com/img/www/jugadores2022/ErikQuintelaCara.jpg"
30001181,"M. Kacinas","Mindaugas Kacinas","https://static.acb.com/img/www/jugadores2022/KacinasCara.jpg"
20210497,"M. Garcia","Marc Garcia","https://static.acb.com/img/www/jugadores2022/MarcGarciaCara.jpg"
