"","jugador","jug","eq","broker","media_sm","media","ef","rent","reg","jornada","val","j1","j2","j3","j4","j5","j6","j7"
"538","Rokas Jokubaitis","R. Jokubaitis","BAR",665556,18.1,18.1,0,1.4,10.1,"j3",18,16,20.4,NA,NA,NA,NA,NA
"539","Edy Tavares","E. Tavares","RMB",828889,18,18,0,1.1,0,"j3",18,18,18,NA,NA,NA,NA,NA
"540","Kyle Guy","K. Guy","JOV",471111,17.8,17.8,0,1.9,2.8,"j3",20.4,9,24,NA,NA,NA,NA,NA
"541","Henry Ellenson","H. Ellenson","JOV",641111,17.7,17.7,0,1.4,1.4,"j3",36,8,9,NA,NA,NA,NA,NA
"542","Dzanan Musa","D. Musa","RMB",880000,17.6,17.6,0,1,2.2,"j3",14.4,9.6,28.8,NA,NA,NA,NA,NA
"543","Thad McFadden","T. McFadden","UCM",494444,17.2,17.2,0,1.7,1.4,"j3",13,5,33.6,NA,NA,NA,NA,NA
"544","Cory Higgins","C. Higgins","BAR",758571,16.8,16.8,0,1.1,0,"j3",16.8,NA,NA,NA,NA,NA,NA,NA
"545","Nikola Kalinic","N. Kalinic","BAR",493333,16.7,16.7,0,1.7,2.9,"j3",12,25,13.2,NA,NA,NA,NA,NA
"546","Nihad Djedovic","N. Djedovic","UNI",672222,16.4,16.4,0,1.2,2.2,"j3",6,24,19.2,NA,NA,NA,NA,NA
"547","Matt Costello","M. Costello","BKN",960000,16.3,16.3,0,0.8,3.3,"j3",11,22.8,15,NA,NA,NA,NA,NA
"548","Luke Maye","L. Maye","COV",657500,16,16,0,1.2,2.8,"j3",12,12,24,NA,NA,NA,NA,NA
"549","Mamadou Niang","M. Niang","COV",703576,15.7,15.7,0,1.1,4.6,"j3",19.2,16.8,11,NA,NA,NA,NA,NA
"550","Miquel Salvó","M. Salvó","GCA",764444,15.5,15.5,0,1,8.6,"j3",14.4,18,14,NA,NA,NA,NA,NA
"551","Chris Jones","C. Jones","VBC",954444,15.3,15.3,0,0.8,1.9,"j3",4,22.8,19.2,NA,NA,NA,NA,NA
"552","Nemanja Nenadic","N. Nenadic","BRE",466667,15.3,15.3,0,1.6,2.2,"j3",23,16.8,6,NA,NA,NA,NA,NA
"553","Cristiano Felicio","C. Felicio","COV",801111,15.3,15.3,0,1,1.9,"j3",24,16.8,5,NA,NA,NA,NA,NA
"554","Guillem Vives","G. Vives","JOV",386667,15.1,15.1,0,1.9,1.8,"j3",13.2,6,26,NA,NA,NA,NA,NA
"555","Jovan Novak","J. Novak","FUE",738889,14.7,14.7,0,1,15.6,"j3",16,14,14,NA,NA,NA,NA,NA
"556","Marek Blazevic","M. Blazevic","MOB",285903,14.5,14.5,0,2.5,3.4,"j3",20.4,12,11,NA,NA,NA,NA,NA
"557","Damien Inglis","D. Inglis","GCA",817778,14.3,14.3,0,0.9,3.1,"j3",19.2,15.6,8,NA,NA,NA,NA,NA
"558","Jaime Fernández","J. Fernández","LNT",711111,14,14,0,1,2.2,"j3",22.8,9.6,9.6,NA,NA,NA,NA,NA
"559","Christian Mekowulu","C. Mekowulu","CAZ",704444,13.7,13.7,0,1,2.6,"j3",21,10,10,NA,NA,NA,NA,NA
"560","Howard Sant-Roos","H. Sant-Roos","CAZ",655556,13.7,13.7,0,1,3.4,"j3",16,17,8,NA,NA,NA,NA,NA
"561","Mario Hezonja","M. Hezonja","RMB",635556,13.6,13.6,0,1.1,1.1,"j3",8.4,31.2,1.2,NA,NA,NA,NA,NA
"562","Sergio Rodríguez","S. Rodríguez","RMB",532500,13.6,13.6,0,1.3,2.8,"j3",14.4,19.2,7.2,NA,NA,NA,NA,NA
"563","Alex Renfroe","A. Renfroe","COV",815556,13.5,13.5,0,0.8,3.5,"j3",16.8,15.6,8,NA,NA,NA,NA,NA
"564","Thomas Bropleh","T. Bropleh","COV",600875,13.4,13.4,0,1.1,1.8,"j3",3.6,15.6,21,NA,NA,NA,NA,NA
"565","Adam Smith","A. Smith","SBB",394444,13.4,13.4,0,1.7,1,"j3",-3,13.2,30,NA,NA,NA,NA,NA
"566","Kameron Taylor","K. Taylor","GIR",698889,13.3,13.3,0,1,1.3,"j3",1,26,13,NA,NA,NA,NA,NA
"567","Bojan Dubljevic","B. Dubljevic","VBC",804444,13.1,13.1,0,0.8,2.8,"j3",8,12,19.2,NA,NA,NA,NA,NA
"568","BJ Johnson III","B. Johnson III","BET",471111,12.9,12.9,0,1.4,1.8,"j3",22.8,9,7,NA,NA,NA,NA,NA
"569","Bruno Fitipaldo","B. Fitipaldo","LNT",336667,12.8,12.8,0,1.9,2.2,"j3",4.8,15.6,18,NA,NA,NA,NA,NA
"570","Tadas Sedekerskis","T. Sedekerskis","BKN",670000,12.5,12.5,0,0.9,1.7,"j3",12,21.6,4,NA,NA,NA,NA,NA
"571","Francis Alonso","F. Alonso","SBB",358889,12.4,12.4,0,1.7,1.7,"j3",12,21.6,3.6,NA,NA,NA,NA,NA
"572","Jan Vesely","J. Vesely","BAR",627778,12.4,12.4,0,1,2.1,"j3",10.8,6,20.4,NA,NA,NA,NA,NA
"573","Olek Balcerowski","O. Balcerowski","GCA",587778,12.2,12.2,0,1,1.2,"j3",7.2,26.4,3,NA,NA,NA,NA,NA
"574","Fran Guerra","F. Guerra","LNT",309135,12,12,0,1.9,0,"j3",NA,12,NA,NA,NA,NA,NA,NA
"575","Toni Nakic","T. Nakic","BRE",548750,11.9,11.9,0,1.1,1.4,"j3",1,13.2,21.6,NA,NA,NA,NA,NA
"576","John Shurna","J. Shurna","GCA",722857,11.8,11.8,0,0.8,2.4,"j3",4.8,15.6,15,NA,NA,NA,NA,NA
"577","Marcus Lee","M. Lee","BAX",442857,11.7,11.7,0,1.3,24.7,"j3",11,12,12,NA,NA,NA,NA,NA
"578","Jeff Withey","J. Withey","SBB",750000,11.6,11.6,0,0.8,1.5,"j3",1.2,19.2,14.4,NA,NA,NA,NA,NA
"579","Nemanja Radovic","N. Radovic","UCM",596667,11.6,11.6,0,1,1.6,"j3",21,3,10.8,NA,NA,NA,NA,NA
"580","Tim Abromaitis","T. Abromaitis","LNT",388889,11.6,11.6,0,1.5,5.7,"j3",9.6,14.4,10.8,NA,NA,NA,NA,NA
"581","Álex Abrines","Á. Abrines","BAR",442000,11.6,11.6,0,1.3,2.1,"j3",4.8,12,18,NA,NA,NA,NA,NA
"582","Aaron Doornekamp","A. Doornekamp","LNT",514444,11.6,11.6,0,1.1,3.7,"j3",14.4,7.2,13.2,NA,NA,NA,NA,NA
"583","Joel Parra","J. Parra","JOV",730000,11.3,11.3,0,0.8,2.7,"j3",16.8,10,7,NA,NA,NA,NA,NA
"584","Elgin Cook","E. Cook","LNT",462222,11.2,11.2,0,1.2,2.5,"j3",6,16.8,10.8,NA,NA,NA,NA,NA
"585","Jared Harper","J. Harper","VBC",489494,11.2,11.2,0,1.1,0.7,"j3",-4,NA,26.4,NA,NA,NA,NA,NA
"586","Nico Brussino","N. Brussino","GCA",832222,11,11,0,0.7,1.9,"j3",14.4,15.6,3,NA,NA,NA,NA,NA
"587","Dusan Miletic","D. Miletic","GIR",454444,11,11,0,1.2,3.9,"j3",9,15,9,NA,NA,NA,NA,NA
"588","Simon Birgander","S. Birgander","JOV",471111,10.9,10.9,0,1.2,1.9,"j3",15.6,3,14,NA,NA,NA,NA,NA
"589","Michael Caicedo","M. Caicedo","BAR",90072,10.8,10.8,0,6,0,"j3",10.8,NA,NA,NA,NA,NA,NA,NA
"590","Vincent Poirier","V. Poirier","RMB",650000,10.8,10.8,0,0.8,2.4,"j3",12,4.8,15.6,NA,NA,NA,NA,NA
"591","Rokas Giedraitis","R. Giedraitis","BKN",606667,10.5,10.5,0,0.9,2.9,"j3",8,15.6,8,NA,NA,NA,NA,NA
"592","Michale Kyser","M. Kyser","SBB",696667,10.4,10.4,0,0.7,2.4,"j3",10.8,4.8,15.6,NA,NA,NA,NA,NA
"593","Iván Cruz","I. Cruz","LNT",314755,10.4,10.4,0,1.7,1.8,"j3",13.2,2.4,15.6,NA,NA,NA,NA,NA
"594","Tomas Satoransky","T. Satoransky","BAR",462222,10.3,10.3,0,1.1,1.3,"j3",20.4,1,9.6,NA,NA,NA,NA,NA
"595","Augusto Lima","A. Lima","UNI",425556,10.3,10.3,0,1.2,2.2,"j3",10,16,4.8,NA,NA,NA,NA,NA
"596","Ferran Bassas","F. Bassas","GCA",475556,10,10,0,1.1,2.5,"j3",8.4,15.6,6,NA,NA,NA,NA,NA
"597","Dylan Osetkowski","D. Osetkowski","UNI",661111,9.7,9.7,0,0.7,3.8,"j3",9,7,13.2,NA,NA,NA,NA,NA
"598","Phil Scrubb","P. Scrubb","MOB",517778,9.7,9.7,0,0.9,1.6,"j3",18,6,5,NA,NA,NA,NA,NA
"599","Dusan Ristic","D. Ristic","FUE",801111,9.7,9.7,0,0.6,1.2,"j3",0,9,20,NA,NA,NA,NA,NA
"600","Marcelinho Huertas","M. Huertas","LNT",595556,9.6,9.6,0,0.8,3.7,"j3",8.4,13.2,7.2,NA,NA,NA,NA,NA
"601","Lluis Costa","L. Costa","COV",313333,9.4,9.4,0,1.5,1.2,"j3",19.2,0,9,NA,NA,NA,NA,NA
"602","Vanja Marinkovic","V. Marinkovic","BKN",331250,9.3,9.3,0,1.4,3,"j3",5,12,11,NA,NA,NA,NA,NA
"603","Jeremiah Hill","J. Hill","BET",397778,9.2,9.2,0,1.2,1.3,"j3",3.6,5,19,NA,NA,NA,NA,NA
"604","Sergi García","S. García","BRE",397778,9.1,9.1,0,1.1,1.7,"j3",2,14.4,10.8,NA,NA,NA,NA,NA
"605","Jeremy Senglin","J. Senglin","FUE",414444,9,9,0,1.1,1.3,"j3",-1,13,15,NA,NA,NA,NA,NA
"606","James Nnaji","J. Nnaji","BAR",266002,9,9,0,1.7,1.7,"j3",14.4,NA,3.6,NA,NA,NA,NA,NA
"607","Steven Enoch","S. Enoch","BKN",466512,8.9,8.9,0,1,2.2,"j3",NA,4.8,13,NA,NA,NA,NA,NA
"608","Nikola Radicevic","N. Radicevic","SBB",368333,8.8,8.8,0,1.2,2.9,"j3",12,9.6,4.8,NA,NA,NA,NA,NA
"609","Artem Pustovyi","A. Pustovyi","UCM",404444,8.7,8.7,0,1.1,2.3,"j3",4,9,13.2,NA,NA,NA,NA,NA
"610","Giordano Bortolani","G. Bortolani","BAX",342857,8.7,8.7,0,1.3,2.5,"j3",10,4,12,NA,NA,NA,NA,NA
"611","Sertaç Sanli","S. Sanli","BAR",420000,8.6,8.6,0,1,1,"j3",-3,18,10.8,NA,NA,NA,NA,NA
"612","Denzel Andersson","D. Andersson","SBB",405556,8.4,8.4,0,1,2.9,"j3",12,4.8,8.4,NA,NA,NA,NA,NA
"613","Sergio Llull","S. Llull","RMB",585000,8.4,8.4,0,0.7,1.7,"j3",2.4,14.4,8.4,NA,NA,NA,NA,NA
"614","Giorgi Shermadini","G. Shermadini","LNT",967143,8.4,8.4,0,0.4,0,"j3",8.4,NA,NA,NA,NA,NA,NA,NA
"615","Leo Westermann","L. Westermann","MOB",379500,8.3,8.3,0,1.1,2.3,"j3",13.2,4.8,7,NA,NA,NA,NA,NA
"616","Nico Laprovittola","N. Laprovittola","BAR",645000,8.3,8.3,0,0.6,3.2,"j3",6,7,12,NA,NA,NA,NA,NA
"617","Quino Colom","Q. Colom","GIR",525556,8.3,8.3,0,0.8,6.7,"j3",7,10,8,NA,NA,NA,NA,NA
"618","Juampi Vaulet","J. Vaulet","BAX",455556,8.3,8.3,0,0.9,2.2,"j3",3,10,12,NA,NA,NA,NA,NA
"619","Amar Sylla","A. Sylla","BET",321111,8.3,8.3,0,1.3,1.5,"j3",4.8,16,4,NA,NA,NA,NA,NA
"620","Prince Ali","P. Ali","COV",440000,8.2,8.2,0,0.9,0.7,"j3",3.6,24,-3,NA,NA,NA,NA,NA
"621","Moussa Diagne","M. Diagne","LNT",362222,8,8,0,1.1,2,"j3",2.4,9.6,12,NA,NA,NA,NA,NA
"622","Darío Brizuela","D. Brizuela","UNI",324444,8,8,0,1.2,1.1,"j3",17,7,0,NA,NA,NA,NA,NA
"623","Brancou Badio","B. Badio","BAX",280000,7.9,7.9,0,1.4,2.3,"j3",3,10,10.8,NA,NA,NA,NA,NA
"624","Eulis Báez","E. Báez","BET",303278,7.7,7.7,0,1.3,11,"j3",8.4,NA,7,NA,NA,NA,NA,NA
"625","Justinian Jessup","J. Jessup","CAZ",595677,7.7,7.7,0,0.6,6.1,"j3",6,8,9,NA,NA,NA,NA,NA
"626","Alberto Díaz","A. Díaz","UNI",465556,7.5,7.5,0,0.8,3,"j3",9,4,9.6,NA,NA,NA,NA,NA
"627","Volodymyr Gerun","V. Gerun","BET",390000,7.5,7.5,0,1,1.6,"j3",3.6,14,5,NA,NA,NA,NA,NA
"628","James Anderson","J. Anderson","UCM",381372,7.4,7.4,0,1,2.2,"j3",NA,4,10.8,NA,NA,NA,NA,NA
"629","Pere Tomàs","P. Tomàs","COV",278889,7.4,7.4,0,1.3,1.7,"j3",13.2,6,3,NA,NA,NA,NA,NA
"630","Marcis Steinbergs","M. Steinbergs","BAX",226250,7.3,7.3,0,1.6,1.1,"j3",13,11,-2,NA,NA,NA,NA,NA
"631","Travis Trice","T. Trice","UCM",790000,7.3,7.3,0,0.5,1.2,"j3",10,13,-1,NA,NA,NA,NA,NA
"632","Andrew Albicy","A. Albicy","GCA",427500,7.2,7.2,0,0.8,1.4,"j3",9.6,12,0,NA,NA,NA,NA,NA
"633","David Walker","D. Walker","MOB",312222,7.2,7.2,0,1.2,1.4,"j3",9.6,12,0,NA,NA,NA,NA,NA
"634","Lasan Kromah","L. Kromah","FUE",577778,7,7,0,0.6,2.1,"j3",3,11,7,NA,NA,NA,NA,NA
"635","Emir Sulejmanovic","E. Sulejmanovic","SBB",345556,6.8,6.8,0,1,1.2,"j3",14.4,4.8,1.2,NA,NA,NA,NA,NA
"636","Oriol Paulí","O. Paulí","BAR",352222,6.8,6.8,0,1,1.4,"j3",12,0,8.4,NA,NA,NA,NA,NA
"637","Bassala Bagayoko","B. Bagayoko","FUE",372403,6.7,6.7,0,0.9,1.4,"j3",2,13,5,NA,NA,NA,NA,NA
"638","Eric Vila","E. Vila","GIR",265556,6.7,6.7,0,1.3,2.7,"j3",10,6,4,NA,NA,NA,NA,NA
"639","Justin Hamilton","J. Hamilton","BAX",403750,6.7,6.7,0,0.8,0.8,"j3",1,1,18,NA,NA,NA,NA,NA
"640","Will Thomas","W. Thomas","UNI",302222,6.6,6.6,0,1.1,2.1,"j3",6,3,10.8,NA,NA,NA,NA,NA
"641","David Kravish","D. Kravish","UNI",448889,6.6,6.6,0,0.7,4.9,"j3",8,7,4.8,NA,NA,NA,NA,NA
"642","Marcel Ponitka","M. Ponitka","CAZ",370300,6.3,6.3,0,0.9,6.7,"j3",7,5,7,NA,NA,NA,NA,NA
"643","Santi Yusta","S. Yusta","CAZ",487778,6.3,6.3,0,0.6,13.4,"j3",6,7,6,NA,NA,NA,NA,NA
"644","Georgios Tsalmpouris","G. Tsalmpouris","BET",418241,6.3,6.3,0,0.8,1.2,"j3",12,8,-1,NA,NA,NA,NA,NA
"645","Gabriel Deck","G. Deck","RMB",593333,6.2,6.2,0,0.5,0.8,"j3",4.8,-3,16.8,NA,NA,NA,NA,NA
"646","Hugo González","H. González","RMB",126500,0,6,0,0,0,"j3",NA,0,6,NA,NA,NA,NA,NA
"647","AJ Slaughter","A. Slaughter","GCA",350750,6,6,0,0.9,0.5,"j3",22.8,1.2,-6,NA,NA,NA,NA,NA
"648","Rodions Kurucs","R. Kurucs","BET",192500,5.9,5.9,0,1.5,1.1,"j3",4.8,0,13,NA,NA,NA,NA,NA
"649","Arturs Kurucs","A. Kurucs","BKN",300643,5.9,5.9,0,1,0.7,"j3",-3,16.8,4,NA,NA,NA,NA,NA
"650","Khalifa Diop","K. Diop","GCA",302222,5.9,5.9,0,1,1.4,"j3",0,9.6,8,NA,NA,NA,NA,NA
"651","Oscar Da Silva","O. Da Silva","BAR",587778,5.8,5.8,0,0.5,2.9,"j3",7.2,3,7.2,NA,NA,NA,NA,NA
"652","Melvin Ejim","M. Ejim","UNI",382813,5.7,5.7,0,0.7,2.8,"j3",8,3,6,NA,NA,NA,NA,NA
"653","Xavi Rabaseda","X. Rabaseda","SBB",374444,5.6,5.6,0,0.7,1.2,"j3",3.6,12,1.2,NA,NA,NA,NA,NA
"654","Víctor Claver","V. Claver","VBC",226313,5.5,5.5,0,1.2,1.7,"j3",2,9.6,4.8,NA,NA,NA,NA,NA
"655","Marcus Paige","M. Paige","MOB",193899,5.5,5.5,0,1.4,0.8,"j3",8.4,12,-4,NA,NA,NA,NA,NA
"656","Marko Lukovic","M. Lukovic","BRE",336375,5.5,5.5,0,0.8,2.2,"j3",2,7.2,7.2,NA,NA,NA,NA,NA
"657","Jaime Pradilla","J. Pradilla","VBC",221111,5.3,5.3,0,1.2,0.8,"j3",13,-3,6,NA,NA,NA,NA,NA
"658","Christian Díaz","C. Díaz","COV",225556,5.3,5.3,0,1.2,0.7,"j3",15.6,1.2,-1,NA,NA,NA,NA,NA
"659","Dani Pérez","D. Pérez","BAX",298889,5.3,5.3,0,0.9,1.3,"j3",4,1,10.8,NA,NA,NA,NA,NA
"660","Edgar Vicedo","E. Vicedo","MOB",237778,5.3,5.3,0,1.1,10,"j3",4.8,6,5,NA,NA,NA,NA,NA
"661","Sam Van Rossom","S. Van Rossom","VBC",315913,5.2,5.2,0,0.8,0.9,"j3",0,13.2,2.4,NA,NA,NA,NA,NA
"662","Justus Hollatz","J. Hollatz","BRE",322222,4.9,4.9,0,0.8,1.7,"j3",5,8.4,1.2,NA,NA,NA,NA,NA
"663","Petr Cornelie","P. Cornelie","RMB",313750,4.8,4.8,0,0.8,0,"j3",NA,4.8,4.8,NA,NA,NA,NA,NA
"664","James Webb III","J. Webb III","VBC",348833,4.8,4.8,0,0.7,0,"j3",NA,4.8,NA,NA,NA,NA,NA,NA
"665","Josep Puerto","J. Puerto","VBC",248750,4.8,4.8,0,1,2,"j3",NA,2.4,7.2,NA,NA,NA,NA,NA
"666","Markus Howard","M. Howard","BKN",325000,4.8,4.8,0,0.7,0.7,"j3",3,14.4,-3,NA,NA,NA,NA,NA
"667","Tomás Bellas","T. Bellas","UCM",296571,4.8,4.8,0,0.8,1.6,"j3",5,1,8.4,NA,NA,NA,NA,NA
"668","Joan Sastre","J. Sastre","LNT",121111,4.8,4.8,0,2,1.4,"j3",8.4,6,0,NA,NA,NA,NA,NA
"669","Daulton Hommes","D. Hommes","BKN",530643,4.7,4.7,0,0.4,0.6,"j3",6,13.2,-5,NA,NA,NA,NA,NA
"670","Sander Raieste","S. Raieste","BKN",149500,4.7,4.7,0,1.6,0.6,"j3",16,-1,-1,NA,NA,NA,NA,NA
"671","Andres Feliz","A. Feliz","JOV",557342,4.6,4.6,0,0.4,1.6,"j3",4.8,8,1,NA,NA,NA,NA,NA
"672","Jordan Sakho","J. Sakho","UCM",141111,4.5,4.5,0,1.6,1.2,"j3",0,4,9.6,NA,NA,NA,NA,NA
"673","Tyson Pérez","T. Pérez","BAX",258750,4.5,4.5,0,0.9,0.4,"j3",16,NA,-7,NA,NA,NA,NA,NA
"674","Álex Reyes","Á. Reyes","SBB",171925,4.4,4.4,0,1.3,1.2,"j3",9.6,2.4,1.2,NA,NA,NA,NA,NA
"675","Ilimane Diop","I. Diop","UCM",263720,4.4,4.4,0,0.8,1.3,"j3",9,3,1.2,NA,NA,NA,NA,NA
"676","Sergi Quintela","S. Quintela","BRE",296675,4.3,4.3,0,0.7,1.6,"j3",8,2.4,2.4,NA,NA,NA,NA,NA
"677","Xabi López-Arostegui","X. López-Arostegui","VBC",350353,4.1,4.1,0,0.6,2.8,"j3",4,6,2.4,NA,NA,NA,NA,NA
"678","David Jelínek","D. Jelínek","UCM",176250,4.1,4.1,0,1.2,2.8,"j3",6,4,2.4,NA,NA,NA,NA,NA
"679","Fabien Causeur","F. Causeur","RMB",105714,4,4,0,1.9,0.6,"j3",7.2,-6,10.8,NA,NA,NA,NA,NA
"680","Pau Ribas","P. Ribas","JOV",298778,3.9,3.9,0,0.7,1.3,"j3",4.8,0,7,NA,NA,NA,NA,NA
"681","Ignacio Rosa","I. Rosa","SBB",96572,3.7,3.7,0,1.9,0.8,"j3",-1,NA,8.4,NA,NA,NA,NA,NA
"682","Maik Kotsar","M. Kotsar","BKN",570176,3.7,3.7,0,0.3,1.4,"j3",6,0,5,NA,NA,NA,NA,NA
"683","Borisa Simanic","B. Simanic","CAZ",151143,3.7,3.7,0,1.2,0.8,"j3",10,2,-1,NA,NA,NA,NA,NA
"684","Clevin Hannah","C. Hannah","FUE",327778,3.7,3.7,0,0.6,0.8,"j3",4,9,-2,NA,NA,NA,NA,NA
"685","Jordan Davis","J. Davis","UCM",189538,3.7,3.7,0,1,0.6,"j3",11,3,-3,NA,NA,NA,NA,NA
"686","Klemen Prepelic","K. Prepelic","VBC",169217,3.5,3.5,0,1,0.4,"j3",-3,14.4,-1,NA,NA,NA,NA,NA
"687","Tyson Carter","T. Carter","UNI",4e+05,3.4,3.4,0,0.4,1,"j3",-1,4,7.2,NA,NA,NA,NA,NA
"688","Ondrej Hanzlik","O. Hanzlik","GIR",71437,3.3,3.3,0,2.3,1.2,"j3",7,0,3,NA,NA,NA,NA,NA
"689","Kyle Kuric","K. Kuric","BAR",228491,3.2,3.2,0,0.7,4,"j3",NA,4,2.4,NA,NA,NA,NA,NA
"690","Rubén Guerrero","R. Guerrero","MOB",302222,3.1,3.1,0,0.5,1.1,"j3",1.2,7.2,1,NA,NA,NA,NA,NA
"691","Jonah Radebaugh","J. Radebaugh","VBC",125922,3.1,3.1,0,1.2,1.1,"j3",1,1.2,7.2,NA,NA,NA,NA,NA
"692","Musa Sagnia","M. Sagnia","BAX",289134,0,3,0,0,0,"j3",NA,3,NA,NA,NA,NA,NA,NA
"693","Pepe Pozas","P. Pozas","BET",94474,3,3,0,1.6,0.7,"j3",-2,8,3,NA,NA,NA,NA,NA
"694","Álvaro Muñoz","Á. Muñoz","MOB",165313,3,3,0,0.9,1,"j3",6,NA,0,NA,NA,NA,NA,NA
"695","Frankie Ferrari","F. Ferrari","BAX",158985,3,3,0,0.9,3.7,"j3",2,4,3,NA,NA,NA,NA,NA
"696","Tyler Kalinoski","T. Kalinoski","UNI",278875,2.7,2.7,0,0.5,1.7,"j3",2,5,1.2,NA,NA,NA,NA,NA
"697","Máximo Fjellerup","M. Fjellerup","GIR",280313,2.7,2.7,0,0.5,0.9,"j3",-1,3,6,NA,NA,NA,NA,NA
"698","Tryggvi Hlinason","T. Hlinason","CAZ",293750,2.7,2.7,0,0.5,0.5,"j3",-5,6,7,NA,NA,NA,NA,NA
"699","Víctor Arteaga","V. Arteaga","BRE",262483,2.6,2.6,0,0.5,0.4,"j3",1,-4,10.8,NA,NA,NA,NA,NA
"700","Kendrick Perry","K. Perry","UNI",365196,2.5,2.5,0,0.3,0.5,"j3",-4,8,3.6,NA,NA,NA,NA,NA
"701","Kyle Alexander","K. Alexander","VBC",282500,2.4,2.4,0,0.4,0.6,"j3",2,7.2,-2,NA,NA,NA,NA,NA
"702","Luka Brajkovic","L. Brajkovic","BRE",171111,2.4,2.4,0,0.7,0.7,"j3",1,7.2,-1,NA,NA,NA,NA,NA
"703","Josep Franch","J. Franch","GIR",128750,2.3,2.3,0,0.9,0.6,"j3",-1,0,8,NA,NA,NA,NA,NA
"704","Dairis Bertans","D. Bertans","BET",69485,2.1,2.1,0,1.5,0.4,"j3",7.2,5,-6,NA,NA,NA,NA,NA
"705","Pep Busquets","P. Busquets","JOV",108055,2,2,0,0.9,0.3,"j3",-5,NA,9,NA,NA,NA,NA,NA
"706","Rihards Lomazs","R. Lomazs","CAZ",159734,2,2,0,0.6,0.6,"j3",-3,4,5,NA,NA,NA,NA,NA
"707","Urban Klavzar","U. Klavzar","UCM",79836,2,2,0,1.3,0,"j3",NA,2,NA,NA,NA,NA,NA,NA
"708","William Howard","W. Howard","JOV",382500,2,2,0,0.3,0,"j3",NA,2,NA,NA,NA,NA,NA,NA
"709","Ryan Luther","R. Luther","UCM",150861,1.7,1.7,0,0.6,0.4,"j3",-4,2,7.2,NA,NA,NA,NA,NA
"710","Pol Figueras","P. Figueras","GIR",144484,1.7,1.7,0,0.6,0.8,"j3",-1,4,2,NA,NA,NA,NA,NA
"711","Viny Okouo","V. Okouo","FUE",205932,1.7,1.7,0,0.4,0.7,"j3",5,0,0,NA,NA,NA,NA,NA
"712","Álex Suárez","Á. Suárez","MOB",103911,1.7,1.7,0,0.8,0.5,"j3",6,-2,1,NA,NA,NA,NA,NA
"713","Maodo Nguirane","M. Nguirane","CAZ",180625,1.5,1.5,0,0.4,3,"j3",2,1,NA,NA,NA,NA,NA,NA
"714","Javi Beirán","J. Beirán","FUE",234903,1.5,1.5,0,0.3,3,"j3",NA,2,1,NA,NA,NA,NA,NA
"715","David Iriarte","D. Iriarte","COV",60344,1.4,1.4,0,1.2,1.1,"j3",1.2,0,3,NA,NA,NA,NA,NA
"716","Patricio Garino","P. Garino","GIR",159983,1.3,1.3,0,0.4,0.5,"j3",5,1,-2,NA,NA,NA,NA,NA
"717","Juan Fernández","J. Fernández","FUE",85978,1.3,1.3,0,0.8,0.3,"j3",2,6,-4,NA,NA,NA,NA,NA
"718","Rubén López","R. López","GCA",44371,1.2,1.2,0,1.4,0,"j3",1.2,0,0,NA,NA,NA,NA,NA
"719","Rodijs Macoha","R. Macoha","FUE",55299,1,1,0,0.9,0.2,"j3",-4,NA,6,NA,NA,NA,NA,NA
"720","Dani García","D. García","BAX",75714,1,1,0,0.7,0.4,"j3",5,-1,-1,NA,NA,NA,NA,NA
"721","Fernando Zurbriggen","F. Zurbriggen","MOB",66361,1,1,0,0.8,0.5,"j3",NA,-1,3,NA,NA,NA,NA,NA
"722","Jacobo Díaz","J. Díaz","COV",95393,1,1,0,0.5,0.3,"j3",-2,6,-1,NA,NA,NA,NA,NA
"723","Aleksandar Cvetkovic","A. Cvetkovic","BET",100379,0.9,0.9,0,0.4,0.3,"j3",3.6,2,-3,NA,NA,NA,NA,NA
"724","Elias Valtonen","E. Valtonen","BAX",90960,0.8,0.8,0,0.4,0.4,"j3",2,-2,2.4,NA,NA,NA,NA,NA
"725","Pavel Savkov","P. Savkov","FUE",84304,0.7,0.7,0,0.4,0.5,"j3",2,-1,1,NA,NA,NA,NA,NA
"726","Aleksandar Bursac","A. Bursac","BAX",104401,0.7,0.7,0,0.3,0.3,"j3",0,4,-2,NA,NA,NA,NA,NA
"727","Dino Radoncic","D. Radoncic","CAZ",391111,0.7,0.7,0,0.1,0.1,"j3",-7,4,5,NA,NA,NA,NA,NA
"728","Yannick Kraag","Y. Kraag","JOV",48333,0.4,0.4,0,0.4,0.2,"j3",1.2,2,-2,NA,NA,NA,NA,NA
"729","Matija Samar","M. Samar","FUE",85000,0,0,0,0,0,"j3",0,0,0,NA,NA,NA,NA,NA
"730","Zsombor Maronka","Z. Maronka","JOV",103860,0,0,0,0,0,"j3",-2,5,-3,NA,NA,NA,NA,NA
"731","Christian Eyenga","C. Eyenga","FUE",247044,0,0,0,0,0,"j3",-4,4,0,NA,NA,NA,NA,NA
"732","David Mutaf","D. Mutaf","GCA",70625,0,0,0,0,0,"j3",0,NA,NA,NA,NA,NA,NA,NA
"733","Jovan Kljajic","J. Kljajic","GCA",48808,-0.3,-0.3,0,-0.3,-0.1,"j3",1.2,-5,3,NA,NA,NA,NA,NA
"734","Stefan Momirov","S. Momirov","BRE",131929,-0.6,-0.6,0,-0.2,-0.3,"j3",0,-3,1.2,NA,NA,NA,NA,NA
